source,field,token,mentions,clusters
policies,Topics,"Bread, bread products and crisp breads (Reformulation sodium)",4,ncd_diet
policies,Topics,Butter and other fats and oils (Reformulation sodium),4,ncd_diet
policies,Topics,Distribution of take home rations,4,
policies,Topics,Energy (standards),4,ncd_diet
policies,Topics,Exceptions (taxes),4,ncd_diet
policies,Topics,Food stores and snack bars in schools,4,schools_education
policies,Topics,Foods high in fats (standards),4,ncd_diet
policies,Topics,Functioning implementation and monitoring mechanism,4,governance
policies,Topics,Less than 66.7%,4,
policies,Topics,Low fat milk (standards),4,ncd_diet
policies,Topics,Mandatory fortification of maize flours with other micronutrients,4,fortification
policies,Topics,Mandatory marketing restrictions,4,
policies,Topics,Objective to reduce climate impact of food,4,
policies,Topics,Portion size control,4,
policies,Topics,Processed foods (standards),4,ncd_diet
policies,Topics,Promotion to health workers and health facilities: Prohibition of free/low-cost supplies of BMS,4,iycf
policies,Topics,Promotion to health workers and health facilities: Prohibition of materials/gifts,4,iycf
policies,Topics,Promotion to the general public: Prohibition of sale promotions,4,iycf
policies,Topics,"Sauces, dips and dressings (Reformulation sodium)",4,ncd_diet
policies,Topics,Total fat (standards),4,ncd_diet
policies,Topics,Voluntary fortification of maize flours with iron,4,anaemia|fortification
policies,Topics,Voluntary fortification of maize flours with iron (amended),4,anaemia|fortification
policies,Topics,Voluntary fortification of maize flours with pyridoxine (B6),4,fortification|micronutrient
policies,Topics,Voluntary fortification of wheat flours with niacin (B3) (amended),4,fortification|micronutrient
policies,Topics,Voluntary fortification of wheat flours with riboflavin (B2) (amended),4,fortification|micronutrient
policies,Topics,Voluntary fortification of wheat flours with thiamin (B1) (amended),4,fortification|micronutrient
policies,Topics,Voluntary fortification of wheat flours with vitamin A,4,fortification|micronutrient
policies,Topics,Voluntary fortification of wheat flours with zinc,4,fortification|micronutrient
policies,Topics,All non-alcoholic beverages with added sugars (taxes),3,ncd_diet
policies,Topics,Amount of available carbohydrate,3,
policies,Topics,Amount of protein,3,
policies,Topics,Amount of salt/sodium,3,ncd_diet
policies,Topics,Amount of total sugars,3,ncd_diet
policies,Topics,Amount of trans fatty acids,3,ncd_diet
policies,Topics,Breakfast cereals (Reformulation sodium),3,ncd_diet
policies,Topics,Delayed cord clamping,3,iycf
policies,Topics,Energy and sport drinks (standards),3,ncd_diet
policies,Topics,Foods high in salt (standards),3,ncd_diet
policies,Topics,Foods high in sugars (standards),3,ncd_diet
policies,Topics,Free sugars,3,ncd_diet
policies,Topics,Fruit and vegetable juice drinks (<100%) (standards),3,ncd_diet
policies,Topics,Limit on 2 g / 100 g fat in all foods,3,
policies,Topics,Liquid and powder concentrates (standards),3,ncd_diet
policies,Topics,Mandatory for all pre-packaged foods,3,
policies,Topics,Mandatory fortification of margarine or edible oils,3,fortification
policies,Topics,Mandatory in schools only,3,schools_education
policies,Topics,"Processed meat, poultry, game, fish and similar (Reformulation sodium)",3,ncd_diet
policies,Topics,Ready-made and convenience foods and composite dishes (Reformulation sodium),3,ncd_diet
policies,Topics,Removal of taxes on healthy foods,3,ncd_diet
policies,Topics,Saturated fats (standards),3,ncd_diet
policies,Topics,Savoury snacks (Reformulation sodium),3,ncd_diet
policies,Topics,School food subsidized,3,schools_education
policies,Topics,School fruit and vegetable scheme,3,food_security|ncd_diet|schools_education
policies,Topics,Sodium (standards),3,ncd_diet
policies,Topics,Voluntary fortification of maize flours with folic acid (amended),3,anaemia|fortification
policies,Topics,Voluntary fortification of margarine or edible oils with vitamin A (amended),3,fortification|micronutrient
policies,Topics,Voluntary fortification of salt with fluoride,3,fortification
policies,Topics,Voluntary fortification of wheat flours with calcium,3,fortification|micronutrient
policies,Topics,Voluntary fortification of wheat flours with cobalamin (B12),3,fortification|micronutrient
policies,Topics,Voluntary fortification of wheat flours with cobalamin (B12) (amended),3,fortification|micronutrient
policies,Topics,Voluntary fortification of wheat flours with folic acid,3,anaemia|fortification
policies,Topics,Voluntary fortification of wheat flours with other micronutrients (amended),3,fortification
policies,Topics,Voluntary fortification of wheat flours with pyridoxine (B6),3,fortification|micronutrient
policies,Topics,Voluntary fortification of wheat flours with vitamin A (amended),3,fortification|micronutrient
policies,Topics,Voluntary fortification of wheat flours with zinc (amended),3,fortification|micronutrient
policies,Topics,Voluntary in schools only,3,schools_education
policies,Topics,Voluntary salt iodization,3,fortification
policies,Topics,Added sugars (standards),2,ncd_diet
policies,Topics,Advertising,2,
policies,Topics,All carbonated non-alcoholic beverages (taxes),2,ncd_diet
policies,Topics,Around schools (marketing),2,schools_education
policies,Topics,Balanced energy protein supplement,2,
policies,Topics,Breakfast cereals (Reformulation saturated fat),2,ncd_diet
policies,Topics,"Cakes, sweet biscuits and pastries; other sweet bakery wares; and dry-mixes for making such (Reformulation saturated fat)",2,ncd_diet
policies,Topics,"Chocolate and sugar confectionery, energy bars, and sweet toppings and desserts (Reformulation saturated fat)",2,ncd_diet
policies,Topics,"Chocolate and sugar confectionery, energy bars, and sweet toppings and desserts (Reformulation sodium)",2,ncd_diet
policies,Topics,Energy value (ND),2,
policies,Topics,Fibre,2,
policies,Topics,Follow-up formula,2,
policies,Topics,Foods high in added sugars (standards),2,ncd_diet
policies,Topics,Foods high in energy (standards),2,ncd_diet
policies,Topics,Foods high in saturated fats (standards),2,ncd_diet
policies,Topics,"Fresh or dried pasta, noodles, rice and grains (Reformulation saturated fat)",2,ncd_diet
policies,Topics,Hospitals (standards),2,ncd_diet
policies,Topics,Infant formula,2,iycf
policies,Topics,Mandatory fortification of maize flours,2,fortification
policies,Topics,Mandatory fortification of salt with fluoride,2,fortification
policies,Topics,Mandatory fortification of wheat flours,2,fortification
policies,Topics,Measures to limit saturated fatty acid content,2,ncd_diet
policies,Topics,Menu labelling,2,ncd_diet
policies,Topics,Micronutrients (standards),2,ncd_diet
policies,Topics,Milk (standards),2,ncd_diet
policies,Topics,More than 66.7%,2,
policies,Topics,Other public settings (standards),2,ncd_diet
policies,Topics,Portion size (standards),2,ncd_diet
policies,Topics,Predefined list of foods and beverages (marketing),2,ncd_diet
policies,Topics,Preparation instructions,2,
policies,Topics,"Processed meat, poultry, game, fish and similar (Reformulation saturated fat)",2,ncd_diet
policies,Topics,Ready-to-drink tea or coffee (standards),2,ncd_diet
policies,Topics,School activities (e.g. sport days),2,schools_education
policies,Topics,School milk scheme,2,food_security|schools_education
policies,Topics,"Sweetened cocoa, coffee or tea drinks (taxes)",2,ncd_diet
policies,Topics,Sweetened or flavored milk drinks (standards),2,ncd_diet
policies,Topics,Tiered tax based on sugar content,2,ncd_diet
policies,Topics,Total sugars (standards),2,ncd_diet
policies,Topics,Trans-fats (standards),2,ncd_diet
policies,Topics,Unpaid breastfeeding breaks,2,iycf|maternal
policies,Topics,Unsaturated oils for cooking (standards),2,ncd_diet
policies,Topics,Voluntary fortification of maize flours with calcium,2,fortification|micronutrient
policies,Topics,Voluntary fortification of maize flours with cobalamin (B12) (amended),2,fortification|micronutrient
policies,Topics,Voluntary fortification of maize flours with niacin (B3) (amended),2,fortification|micronutrient
policies,Topics,Voluntary fortification of maize flours with pyridoxine (B6) (amended),2,fortification|micronutrient
policies,Topics,Voluntary fortification of maize flours with riboflavin (B2) (amended),2,fortification|micronutrient
policies,Topics,Voluntary fortification of maize flours with thiamin (B1) (amended),2,fortification|micronutrient
policies,Topics,Voluntary fortification of maize flours with zinc (amended),2,fortification|micronutrient
policies,Topics,Voluntary fortification of margarine or edible oils with vitamin D,2,fortification|micronutrient
policies,Topics,Voluntary fortification of other food products,2,fortification
policies,Topics,Voluntary fortification of salt with iron,2,anaemia|fortification
policies,Topics,Voluntary fortification of wheat flours with other micronutrients,2,fortification
policies,Topics,Voluntary fortification of wheat flours with pyridoxine (B6) (amended),2,fortification|micronutrient
policies,Topics,Voluntary marketing restrictions,2,
policies,Topics,Voluntary salt iodization (amended),2,fortification
policies,Topics,18 weeks or more,1,
policies,Topics,Advertising (in streets and stores),1,
policies,Topics,Amount of dietary fibre,1,
policies,Topics,Appropriate age of introduction of food not before 6 mos,1,
policies,Topics,Award / certification,1,
policies,Topics,Bans of pictures/text idealizing infant formula,1,iycf
policies,Topics,Beverages (Reformulation saturated fat),1,ncd_diet
policies,Topics,Beverages (Reformulation sodium),1,ncd_diet
policies,Topics,Butter and other fats and oils (Reformulation saturated fat),1,ncd_diet
policies,Topics,"Cakes, sweet biscuits and pastries; other sweet bakery wares; and dry-mixes for making such (Reformulation sodium)",1,ncd_diet
policies,Topics,Cheese (Reformulation sodium),1,ncd_diet
policies,Topics,Complementary foods (Code),1,iycf
policies,Topics,Employ environmentally friendly cooking and handling,1,
policies,Topics,Empowered to impose legal sanctions,1,governance
policies,Topics,Fat (marketing),1,
policies,Topics,Food category not specified (Reformulation saturated fat),1,ncd_diet
policies,Topics,Foods high in fibre (standards),1,ncd_diet
policies,Topics,Foods high in micronutrients (standards),1,ncd_diet
policies,Topics,Foods high in trans fats (standards),1,ncd_diet
policies,Topics,Full fat milk (standards),1,ncd_diet
policies,Topics,General statement not market excessive intake of food or approve unhealthy food,1,
policies,Topics,Give-aways,1,
policies,Topics,"Limit exists for some settings, products or areas only",1,
policies,Topics,Limited or prohibited food,1,
policies,Topics,Mandatory fortification in areas with micronutrient deficiency,1,fortification
policies,Topics,Mandatory fortification of margarine or edible oils with vitamin A (amended),1,fortification|micronutrient
policies,Topics,Mandatory fortification of margarine or edible oils with vitamin D (amended),1,fortification|micronutrient
policies,Topics,Mandatory fortification of margarine or oils with vitamin E (amended),1,fortification|micronutrient
policies,Topics,Mandatory fortification of other food products,1,fortification
policies,Topics,Mandatory fortification of salt,1,fortification
policies,Topics,Mandatory fortification of sugar,1,fortification
policies,Topics,Mandatory salt iodization (amended),1,fortification
policies,Topics,Message on superiority of breastfeeding,1,iycf
policies,Topics,Only to be used on advice of health worker,1,
policies,Topics,Positive nutrients (marketing),1,
policies,Topics,"Processed fruit, vegetables and legumes (Reformulation sodium)",1,ncd_diet
policies,Topics,Promotions,1,
policies,Topics,Ready-made and convenience foods and composite dishes (Reformulation saturated fat),1,ncd_diet
policies,Topics,Red meat (standards),1,ncd_diet
policies,Topics,Restaurants and food outlets (standards),1,ncd_diet
policies,Topics,Right to water,1,
policies,Topics,Salt/sodium (marketing),1,ncd_diet
policies,Topics,Saturated fat (taxes),1,ncd_diet
policies,Topics,Savoury snacks (Reformulation saturated fat),1,ncd_diet
policies,Topics,Selenium,1,
policies,Topics,Sugar-sweetened beverages (marketing),1,ncd_diet
policies,Topics,Sugars (standards),1,ncd_diet
policies,Topics,Total carbohydrate,1,
policies,Topics,Trans fat (taxes),1,ncd_diet
policies,Topics,Ultraprocessed foods (standards),1,ncd_diet
policies,Topics,Vending machines in schools,1,ncd_diet|schools_education
policies,Topics,Voluntary fortification of maize flours with magnesium,1,fortification
policies,Topics,Voluntary fortification of maize flours with other micronutrients,1,fortification
policies,Topics,Voluntary fortification of maize flours with other micronutrients (amended),1,fortification
policies,Topics,Voluntary fortification of maize flours with vitamin A (amended),1,fortification|micronutrient
policies,Topics,Voluntary fortification of margarine or edible oils with other micronutrients,1,fortification
policies,Topics,Voluntary fortification of margarine or edible oils with other micronutrients (amended),1,fortification
policies,Topics,Voluntary fortification of margarine or edible oils with vitamin E,1,fortification|micronutrient
policies,Topics,Voluntary fortification of salt with magnesium,1,fortification
policies,Topics,Voluntary fortification of sugar with vitamin A (amended),1,fortification|micronutrient
policies,Topics,Voluntary fortification of wheat flours with calcium (amended),1,fortification|micronutrient
policies,Topics,Voluntary fortification of wheat flours with magnesium,1,fortification
policies,Topics,Voluntary fortification of wheat flours with pantothenic acid (B5),1,fortification
policies,Topics,Voluntary fortification of wheat flours with vitamin C,1,fortification|micronutrient
policies,Topics,Voluntary fortification of wheat flours with vitamin C (amended),1,fortification|micronutrient
policies,Topics,Voluntary reformulation,1,ncd_diet
policies,Topics,"Yoghurt, sour milk, cream and other similar foods (Reformulation saturated fat)",1,ncd_diet
programmes,Target_Group,Preschool-age children (Pre-SAC),378,schools_education
programmes,Target_Group,Infants and young children,374,iycf
programmes,Target_Group,School age children (SAC),371,schools_education
programmes,Theme,Micronutrient supplementation,367,micronutrient
programmes,Target_Group,Pregnant women (PW),303,maternal
